greasy_count,rotten_count,nospecial_count,total_samples,epoch,stage
271,525,214,1010,1,1
263,499,248,1010,2,1
258,487,265,1010,3,1
247,538,225,1010,4,1
256,505,249,1010,5,1
250,516,244,1010,6,2
277,467,266,1010,7,2
278,483,249,1010,8,2
259,496,255,1010,9,2
253,532,225,1010,10,2
267,514,229,1010,11,2
240,520,250,1010,12,2
264,519,227,1010,13,2
252,515,243,1010,14,2
257,510,243,1010,15,2
234,526,250,1010,16,2
249,503,258,1010,17,2
226,527,257,1010,18,2
246,489,275,1010,19,2
276,483,251,1010,20,2
229,553,228,1010,21,2
264,484,262,1010,22,2
244,510,256,1010,23,2
241,512,257,1010,24,2
239,508,263,1010,25,2
241,505,264,1010,26,2
272,502,236,1010,27,2
240,520,250,1010,28,2
268,502,240,1010,29,2
257,516,237,1010,30,2
265,492,253,1010,31,2
267,455,288,1010,32,2
239,512,259,1010,33,2
